Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS,Profit_Trend,Sales_Growth,Net_Profit_Growth
2023-06-01,4834,402,8,65,8,76,382,287,4.58,Profit Declined,,
2023-09-01,3900,373,10,52,9,81,335,249,3.97,Profit Declined,-19.321472900289617,-13.240418118466902
2023-12-01,4414,433,10,56,10,88,391,288,4.59,Profit Grew,13.179487179487182,15.662650602409634
2024-03-01,5442,635,12,76,18,93,599,447,7.13,Profit Grew,23.28953330312642,55.20833333333333
2024-06-01,5806,572,10,77,9,92,549,408,6.51,Profit Declined,6.688717383314957,-8.7248322147651
2024-09-01,4539,375,8,93,10,95,363,268,4.28,Profit Declined,-21.822252841887703,-34.31372549019608
2024-12-01,4889,426,9,64,9,104,377,278,4.44,Profit Grew,7.71094954835867,3.731343283582089
2025-03-01,6544,757,12,69,15,110,701,517,8.26,Profit Grew,33.85150337492328,85.97122302158273
2025-06-01,5455,516,9,69,9,106,470,348,5.55,Profit Declined,-16.641198044009776,-32.68858800773694
2025-09-01,4779,438,9,91,9,106,415,318,5.09,Profit Declined,-12.392300641613197,-8.62068965517241
2025-12-01,5588,516,9,9,9,109,408,300,4.8,Profit Declined,16.92822766269093,-5.660377358490565
2026-03-01,6705,729,11,310,10,112,918,723,11.53,Profit Grew,19.98926270579815,141.0
2026-06-01,6518,466,7,54,7,121,392,290,4.63,Profit Declined,-2.788963460104399,-59.88934993084371
